id,code,name,between,stop_to,grant_receive,concessionaire,start_date
waybill_codigo_derecho_paso_00,CDP001,D-1,Torreon (Km. DA-251+000) ,Villa Juarez (Km. DA-238+000),Recibe,"Via ferrea del Noroeste (Actualmente Kansas City Southern de Mexico, S.A de C.V.)",2021-06-01
waybill_codigo_derecho_paso_01,CDP002,D-1,Torreon (Km. DA-251+000),Villa Juarez (Km. DA-238+000),Otorga,"Via ferrea Pacifico-Norte (actualmente Ferrocarril Mexicano, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_02,CDP003,DPL-1,Mariscala (Km. A-263+922),Guadalajara (Km. I-259+500),Otorga,"Via ferrea del Noroeste (Actualmente Kansas City Southern de Mexico, S.A de C.V.)",2021-06-01
waybill_codigo_derecho_paso_03,CDP004,DPL-1,Mariscala (Km. A-263+922),Guadalajara (Km. I-259+500) Asi como en el tramo comprendido entre los kilometros T-1763+960 y T-1760+000,Recibe," Via ferrea Pacifico-Norte (actualmente Ferrocarril Mexicano, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_04,CDP005,DPL-2,Viborillas (Km. BC-8+756),Encantada (Km.B-892+875),Recibe,"Via ferrea del Noroeste (Actualmente Kansas City Southern de Mexico, S.A de C.V.)",2021-06-01
waybill_codigo_derecho_paso_05,CDP006,DPL-2,Viborillas (Km. BC-8+756),Encantada (Km. B-892+875),Otorga," Via ferrea Pacifico-Norte (actualmente Ferrocarril Mexicano, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_06,CDP007,IT-1,Medias Aguas (Km. Z-95+928 = G-299+869),Salina Cruz (Km. Z-303+304),Recibe," Via corta del Istmo de Tehuantepec (actualmente  Ferrocariil del Istmo de Tehuantepec, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_07,CDP008,IT-2,Medias Aguas  (Km. Z-95 y 928 = G-299+869),Conexion Dto. Arriaga (Km. Z-254+200),Recibe," Via ferrea del Istmo de Tehuantepec (actualmente Ferrocarril del Itsmo de Tehuantepec, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_08,CDP009,IT-3,Medias Aguas  (Km. Z-95 y 928 = G-299+869),Conexion Dto. Arriaga (Km. Z-254+200),Recibe," Via ferrea del Istmo de Tehuantepec (actualmente Ferrocarril del Itsmo de Tehuantepec, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_09,CDP010,IT-4,Lagunas (Z-212+000),Conexion Dto. Arriaga (Km. Z-254+200),Recibe," Via ferrea del Istmo de Tehuantepec (actualmente Ferrocarril del Itsmo de Tehuantepec, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_10,CDP011,IT-5,Salina Cruz (Km. Z-303+304),Conexion Dto. Arriaga (Km. Z-254+600,Recibe," Via ferrea del Istmo de Tehuantepec (actualmente Ferrocarril del Itsmo de Tehuantepec, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_11,CDP012,IT-6,Conexion Dto. Arriaga (Km. Z-254+600),Ixtepec (KM. Z-257+000),Recibe," Via ferrea del Istmo de Tehuantepec (actualmente Ferrocarril del Itsmo de Tehuantepec, S.A. de C.V.)",2021-06-01
waybill_codigo_derecho_paso_12,CDP013,IT-7,Medias Aguas  (Km. Z-95 y 928 = G-299+869),Salina Cruz (Km. Z-303+304),Recibe,"Via ferrea del Istmo de Tehuantepec (actualmente Ferrocarril del Itsmo de Tehuantepec, S.A. de C.V.) ",2021-06-01
waybill_codigo_derecho_paso_13,CDP014,N-1,Topo Grande (Km. M-528+000),Patio Monterrey Carga-Cerro La Silla (Km. M-500+000),Recibe,"Via ferrea del Noroeste (Actualmente Kansas City Southern de Mexico, S.A de C.V.)",2021-06-01
