id,code,country_nationality,name,oaci_name,start_date
waybill_codigo_transporte_aereo_00,CA001,Asiaticas,All Nippon Airways LTD,ANA,2021-06-01
waybill_codigo_transporte_aereo_01,CA002,Asiaticas,Cathay Pacific Airways Limited,CPA,2021-06-01
waybill_codigo_transporte_aereo_02,CA003,Asiaticas,China Southern Airlines,CSN,2021-06-01
waybill_codigo_transporte_aereo_03,CA004,Asiaticas,Emirates,UAE,2021-06-01
waybill_codigo_transporte_aereo_04,CA005,Asiaticas,Hainan Airlines,CHH,2021-06-01
waybill_codigo_transporte_aereo_05,CA006,Asiaticas,Korean Air,KAL,2021-06-01
waybill_codigo_transporte_aereo_06,CA007,Asiaticas,Qatar Airlines ,QTR,2021-06-01
waybill_codigo_transporte_aereo_07,CA008,Canadienses,Air Canada,ACA,2021-06-01
waybill_codigo_transporte_aereo_08,CA009,Canadienses,Air Transat (Transat A. T.),TSC,2021-06-01
waybill_codigo_transporte_aereo_09,CA010,Canadienses,Canjet (Imp Group Limited/Canjet Airlines),CJA,2021-06-01
waybill_codigo_transporte_aereo_10,CA011,Canadienses,Cargojet Airways Ltd,CJT,2021-06-01
waybill_codigo_transporte_aereo_11,CA012,Canadienses,Flair Airlines,FLE,2021-06-01
waybill_codigo_transporte_aereo_12,CA013,Canadienses,Jazz  Air  LP,JZA,2021-06-01
waybill_codigo_transporte_aereo_13,CA014,Canadienses,Sunwing (Sunwing Airlines),SWG,2021-06-01
waybill_codigo_transporte_aereo_14,CA015,Canadienses,Swoop Airlines,WSW,2021-06-01
waybill_codigo_transporte_aereo_15,CA016,Canadienses,West Jet (Westjet Airlines Ltd),WJA,2021-06-01
waybill_codigo_transporte_aereo_16,CA017,Centro y Sudamericanas,Aerolineas Argentinas,ARG,2021-06-01
waybill_codigo_transporte_aereo_17,CA018,Centro y Sudamericanas,Aerorepublica,RPB,2021-06-01
waybill_codigo_transporte_aereo_18,CA019,Centro y Sudamericanas,Avianca (Aerovias Del Continente Americano),AVA,2021-06-01
waybill_codigo_transporte_aereo_19,CA020,Centro y Sudamericanas,Copa (Compa\xc3\xb1ia Paname\xc3\xb1a De Aviacion),CMP,2021-06-01
waybill_codigo_transporte_aereo_20,CA021,Centro y Sudamericanas,Cubana (Cubana De Aviacion),CUB,2021-06-01
waybill_codigo_transporte_aereo_21,CA022,Centro y Sudamericanas,DHL De Guatemala (DHL De Guatemala),JOS,2021-06-01
waybill_codigo_transporte_aereo_22,CA023,Centro y Sudamericanas,GOL Linhas Aereas,GLO,2021-06-01
waybill_codigo_transporte_aereo_23,CA024,Centro y Sudamericanas,Lacsa (Lineas Aereas Costarricences),LRC,2021-06-01
waybill_codigo_transporte_aereo_24,CA025,Centro y Sudamericanas,LAN Cargo,LCO,2021-06-01
waybill_codigo_transporte_aereo_25,CA026,Centro y Sudamericanas,Lan Chile Airlines (Linea Aerea Nacional De Chile),LAN,2021-06-01
waybill_codigo_transporte_aereo_26,CA027,Centro y Sudamericanas,Lan Colombia,ARE,2021-06-01
waybill_codigo_transporte_aereo_27,CA028,Centro y Sudamericanas,Lanperu,LPE,2021-06-01
waybill_codigo_transporte_aereo_28,CA029,Centro y Sudamericanas,Taca (Taca International Airlines),TAI,2021-06-01
waybill_codigo_transporte_aereo_29,CA030,Centro y Sudamericanas,Taca Peru (Trans American Airlines),TPU,2021-06-01
waybill_codigo_transporte_aereo_30,CA031,Centro y Sudamericanas,Tam Linhas Aereas,TAM,2021-06-01
waybill_codigo_transporte_aereo_31,CA032,Centro y Sudamericanas,Tampa (Tampa Cargo),TPA,2021-06-01
waybill_codigo_transporte_aereo_32,CA033,Centro y Sudamericanas,Transcarga International Airways,TIW,2021-06-01
waybill_codigo_transporte_aereo_33,CA034,Centro y Sudamericanas,Tropic Air Limited,TOS,2021-06-01
waybill_codigo_transporte_aereo_34,CA035,Centro y Sudamericanas,Viva Air Colombia,VVC,2021-06-01
waybill_codigo_transporte_aereo_35,CA036,Centro y Sudamericanas,Volaris Costa Rica,VOC,2021-06-01
waybill_codigo_transporte_aereo_36,CA037,Centro y Sudamericanas,"VRG Linhas Aereas, S.A.",VRN,2021-06-01
waybill_codigo_transporte_aereo_37,CA038,El Caribe,BahamasAir Holdings LTD,BHS,2021-06-01
waybill_codigo_transporte_aereo_38,CA039,Estadounidenses,21 Air,UBA,2021-06-01
waybill_codigo_transporte_aereo_39,CA040,Estadounidenses,Abx (Abx Air),ABX,2021-06-01
waybill_codigo_transporte_aereo_40,CA041,Estadounidenses,Alaska Airlines,ASA,2021-06-01
waybill_codigo_transporte_aereo_41,CA042,Estadounidenses,American Airlines,AAL,2021-06-01
waybill_codigo_transporte_aereo_42,CA043,Estadounidenses,Amerijet International,AJT,2021-06-01
waybill_codigo_transporte_aereo_43,CA044,Estadounidenses,Ameristar Air Cargo,AJI,2021-06-01
waybill_codigo_transporte_aereo_44,CA045,Estadounidenses,Atlas Air,GTI,2021-06-01
waybill_codigo_transporte_aereo_45,CA046,Estadounidenses,BOSTON MAINE,CXS,2021-06-01
waybill_codigo_transporte_aereo_46,CA047,Estadounidenses,C&M AIRWAYS,RWG,2021-06-01
waybill_codigo_transporte_aereo_47,CA048,Estadounidenses,Caribbean Sun Airlines,WAL,2021-06-01
waybill_codigo_transporte_aereo_48,CA049,Estadounidenses,CENTURION,CWC,2021-06-01
waybill_codigo_transporte_aereo_49,CA050,Estadounidenses,Compass Airlines,CPZ,2021-06-01
waybill_codigo_transporte_aereo_50,CA051,Estadounidenses,Continental Express (Express Jet),ASQ,2021-06-01
waybill_codigo_transporte_aereo_51,CA052,Estadounidenses,Delta Airlines,DAL,2021-06-01
waybill_codigo_transporte_aereo_52,CA053,Estadounidenses,Delux Public Air Charter Inc,JSX,2021-06-01
waybill_codigo_transporte_aereo_53,CA054,Estadounidenses,"Envoy Air, Inc",ENY,2021-06-01
waybill_codigo_transporte_aereo_54,CA055,Estadounidenses,FALCON AIR EXPRESS,FAO,2021-06-01
waybill_codigo_transporte_aereo_55,CA056,Estadounidenses,FEDEX (Federal Express),FDX,2021-06-01
waybill_codigo_transporte_aereo_56,CA057,Estadounidenses,Florida West,FWL,2021-06-01
waybill_codigo_transporte_aereo_57,CA058,Estadounidenses,Frontier,FFT,2021-06-01
waybill_codigo_transporte_aereo_58,CA059,Estadounidenses,Gulf & Caribbean Cargo,TSU,2021-06-01
