id,code,code_identification,name,nationality,designer_iata,iron_line,start_date
waybill_complemento_estacion_00,02,PM001 ,Rosarito,Mexico,,,2021-06-01
waybill_complemento_estacion_01,02,PM002,La Mision,Mexico,,,2021-06-01
waybill_complemento_estacion_02,02,PM003,El Sauzal,Mexico,,,2021-06-01
waybill_complemento_estacion_03,02,PM004,Marina Coral,Mexico,,,2021-06-01
waybill_complemento_estacion_04,02,PM005,Ensenada,Mexico,,,2021-06-01
waybill_complemento_estacion_05,02,PM006,Punta China,Mexico,,,2021-06-01
waybill_complemento_estacion_06,02,PM007,San Quintin,Mexico,,,2021-06-01
waybill_complemento_estacion_07,02,PM008,Isla Cedros,Mexico,,,2021-06-01
waybill_complemento_estacion_08,02,PM009,Venustiano Carranza,Mexico,,,2021-06-01
waybill_complemento_estacion_09,02,PM010,Bahia de los Angeles,Mexico,,,2021-06-01
waybill_complemento_estacion_10,02,PM011,Puertecitos,Mexico,,,2021-06-01
waybill_complemento_estacion_11,02,PM012,San Felipe,Mexico,,,2021-06-01
waybill_complemento_estacion_12,02,PM013,Costa Azul,Mexico,,,2021-06-01
waybill_complemento_estacion_13,02,PM014,Bahia Colonet,Mexico,,,2021-06-01
waybill_complemento_estacion_14,02,PM015,La Paz,Mexico,,,2021-06-01
waybill_complemento_estacion_15,02,PM016,Pichilingue,Mexico,,,2021-06-01
waybill_complemento_estacion_16,02,PM017,Puerto de Loreto,Mexico,,,2021-06-01
waybill_complemento_estacion_17,02,PM018,Puerto de Santa Rosalia,Mexico,,,2021-06-01
waybill_complemento_estacion_18,02,PM019,Puerto Escondido,Mexico,,,2021-06-01
waybill_complemento_estacion_19,02,PM020,San Carlos,Mexico,,,2021-06-01
waybill_complemento_estacion_20,02,PM021,Cabo San Lucas,Mexico,,,2021-06-01
waybill_complemento_estacion_21,02,PM022,Guerrero Negro,Mexico,,,2021-06-01
waybill_complemento_estacion_22,02,PM023,Santa Maria,Mexico,,,2021-06-01
waybill_complemento_estacion_23,02,PM024,Isla San Marcos,Mexico,,,2021-06-01
waybill_complemento_estacion_24,02,PM025,Adolfo Lopez Mateos,Mexico,,,2021-06-01
waybill_complemento_estacion_25,02,PM026,San Juan de la Costa,Mexico,,,2021-06-01
waybill_complemento_estacion_26,02,PM027,Punta prieta,Mexico,,,2021-06-01
waybill_complemento_estacion_27,02,PM028,San Jose del Cabo,Mexico,,,2021-06-01
waybill_complemento_estacion_28,02,PM029,Los Barriles,Mexico,,,2021-06-01
waybill_complemento_estacion_29,02,PM030,Mulege,Mexico,,,2021-06-01
waybill_complemento_estacion_30,02,PM031,Isla del Carmen,Mexico,,,2021-06-01
waybill_complemento_estacion_31,02,PM032,Campeche,Mexico,,,2021-06-01
waybill_complemento_estacion_32,02,PM033,Cayo Arcas,Mexico,,,2021-06-01
waybill_complemento_estacion_33,02,PM034,Seybaplaya,Mexico,,,2021-06-01
waybill_complemento_estacion_34,02,PM035,Isla Arena,Mexico,,,2021-06-01
waybill_complemento_estacion_35,02,PM036,San Francisco,Mexico,,,2021-06-01
waybill_complemento_estacion_36,02,PM037,Lerma,Mexico,,,2021-06-01
waybill_complemento_estacion_37,02,PM038,Champoton,Mexico,,,2021-06-01
waybill_complemento_estacion_38,02,PM039,Sabancuy,Mexico,,,2021-06-01
waybill_complemento_estacion_39,02,PM040,Isla Aguada,Mexico,,,2021-06-01
waybill_complemento_estacion_40,02,PM041,Emiliano Zapata,Mexico,,,2021-06-01
