id,code,name,start_date
waybill_configuracion_maritima_00,B01,Abastecedor,"2021-06-01"
waybill_configuracion_maritima_01,B02,Barcaza,"2021-06-01"
waybill_configuracion_maritima_02,B03,Granelero,"2021-06-01"
waybill_configuracion_maritima_03,B04,Porta Contenedor,"2021-06-01"
waybill_configuracion_maritima_04,B05,Draga,"2021-06-01"
waybill_configuracion_maritima_05,B06,Pesquero,"2021-06-01"
waybill_configuracion_maritima_06,B07,Carga General,"2021-06-01"
waybill_configuracion_maritima_07,B08,Quimiqueros,"2021-06-01"
waybill_configuracion_maritima_08,B09,Transbordadores,"2021-06-01"
waybill_configuracion_maritima_09,B10,Carga RoRo,"2021-06-01"
waybill_configuracion_maritima_10,B11,Investigacion,"2021-06-01"
waybill_configuracion_maritima_11,B12,Tanquero,"2021-06-01"
waybill_configuracion_maritima_12,B13,Gasero,"2021-06-01"
waybill_configuracion_maritima_13,B14,Remolcador,"2021-06-01"
waybill_configuracion_maritima_14,B15,Extraordinaria especializacion,"2021-06-01"
