"id","code","name","class_div","danger_sec","start_date"
"waybill_materiales_peligrosos_00","0004","PICRATO DE AMONIO seco o humedecido con menos de 10%, en masa, de agua","1.1D",,2021-12-01
"waybill_materiales_peligrosos_01","0005","CARTUCHOS PARA ARMAS, con carga explosiva","1.1F",,2021-12-01
"waybill_materiales_peligrosos_02","0006","CARTUCHOS PARA ARMAS, con carga explosiva","1.1E",,2021-12-01
"waybill_materiales_peligrosos_03","0007","CARTUCHOS PARA ARMAS, con carga explosiva","1.2F",,2021-12-01
"waybill_materiales_peligrosos_04","0009","MUNICIONES INCENDIARIAS con o sin carga detonante, carga expulsora o carga propulsora","1.2G",,2021-12-01
"waybill_materiales_peligrosos_05","0010","MUNICIONES INCENDIARIAS con o sin carga detonante carga expulsora o carga propulsora","1.3G",,2021-12-01
"waybill_materiales_peligrosos_06","0012","CARTUCHOS PARA ARMAS, CON PROYECTIL INERTE, o CARTUCHOS PARA ARMAS DE PEQUEÑO CALIBRE","1.4S",,2021-12-01
"waybill_materiales_peligrosos_07","0014","CARTUCHOS PARA ARMAS, SIN BALA, o CARTUCHOS PARA ARMAS DE PEQUEÑO CALIBRE, SIN BALA","1.4S",,2021-12-01
"waybill_materiales_peligrosos_08","0015","MUNICIONES FUMIGENAS con o sin carga detonante carga expulsora o carga propulsora","1.2G",,2021-12-01
"waybill_materiales_peligrosos_09","0016","MUNICIONES FUMIGENAS con o sin carga detonante, carga expulsora o carga propulsora","1.3G",,2021-12-01
"waybill_materiales_peligrosos_10","0018","MUNICIONES LACRIMOGENAS con carga detonante, carga expulsora o carga propulsora","1.2G","6.1 8",2021-12-01
"waybill_materiales_peligrosos_11","0019","MUNICIONES LACRIMOGENAS con carga detonante, carga expulsora o carga propulsora","1.3G","6.1 8",2021-12-01
"waybill_materiales_peligrosos_12","0020","MUNICIONES TOXICAS con carga detonante, carga expulsora o carga propulsora","1.2K",6.1,2021-12-01
"waybill_materiales_peligrosos_13","0021","MUNICIONES TOXICAS con carga detonante, carga expulsora o carga propulsora","1.3K",6.1,2021-12-01
"waybill_materiales_peligrosos_14","0027","POLVORA NEGRA en forma de granos o de polvo","1.1D",,2021-12-01
"waybill_materiales_peligrosos_15","0028","POLVORA NEGRA COMPRIMIDA o POLVORA NEGRA EN COMPRIMIDOS","1.1D",,2021-12-01
"waybill_materiales_peligrosos_16","0029","DETONADORES NO ELECTRICOS para voladuras","1.1B",,2021-12-01
"waybill_materiales_peligrosos_17","0030","DETONADORES ELECTRICOS para voladuras","1.1B",,2021-12-01
"waybill_materiales_peligrosos_18","0033","BOMBAS con carga explosiva","1.1F",,2021-12-01
"waybill_materiales_peligrosos_19","0034","BOMBAS con carga explosiva","1.1D",,2021-12-01
"waybill_materiales_peligrosos_20","0035","BOMBAS con carga explosiva","1.2D",,2021-12-01
"waybill_materiales_peligrosos_21","0037","BOMBAS DE ILUMINACION PARA FOTOGRAFIA","1.1F",,2021-12-01
"waybill_materiales_peligrosos_22","0038","BOMBAS DE ILUMINACION PARA FOTOGRAFIA","1.1D",,2021-12-01
"waybill_materiales_peligrosos_23","0039","BOMBAS DE ILUMINACION PARA FOTOGRAFIA","1.2G",,2021-12-01
"waybill_materiales_peligrosos_24","0042","PETARDOS sin detonador","1.1D",,2021-12-01
"waybill_materiales_peligrosos_25","0043","DETONADORES CON EXPLOSIVO","1.1D",,2021-12-01
"waybill_materiales_peligrosos_26","0044","CEBOS TIPO CAPSULA","1.4S",,2021-12-01
"waybill_materiales_peligrosos_27","0048","CARGAS DE DEMOLICION","1.1D",,2021-12-01
"waybill_materiales_peligrosos_28","0049","CARTUCHOS FULGURANTES","1.1G",,2021-12-01
"waybill_materiales_peligrosos_29","0050","CARTUCHOS FULGURANTES","1.3G",,2021-12-01
"waybill_materiales_peligrosos_30","0054","CARTUCHOS DE SEÑALES","1.3G",,2021-12-01
"waybill_materiales_peligrosos_31","0055","CARTUCHOS VACIOS CEBADOS(CON FULMINANTE)","1.4S",,2021-12-01
"waybill_materiales_peligrosos_32","0056","CARGAS DE PROFUNDIDAD","1.1D",,2021-12-01
"waybill_materiales_peligrosos_33","0059","CARGAS HUECAS sin detonador","1.1D",,2021-12-01
"waybill_materiales_peligrosos_34","0060","CARGAS EXPLOSIVAS PARA PETARDOS MULTIPLICADORES ","1.1D",,2021-12-01
"waybill_materiales_peligrosos_35","0065","MECHA DETONANTE flexible","1.1D",,2021-12-01
"waybill_materiales_peligrosos_36","0066","MECHA DE ENCENDIDO","1.4G",,2021-12-01
"waybill_materiales_peligrosos_37","0070","CIZALLAS CORTACABLES CON CARGA EXPLOSIVA","1.4S",,2021-12-01
"waybill_materiales_peligrosos_38","0072","CICLOTRIMETILENTRINITRAMINA (CICLONITA; RDX; HEXOGENO) HUMEDECIDA con no menos de 15%, en masa, de agua","1.1D",,2021-12-01
"waybill_materiales_peligrosos_39","0073","DETONADORES PARA MUNICIONES","1.1B",,2021-12-01
"waybill_materiales_peligrosos_40","0074","DIAZODINITROFENOL HUMEDECIDO con no menos de 40%, en masa, de agua o de una mezcla de alcohol y agua","1.1A",,2021-12-01
"waybill_materiales_peligrosos_41","0075","DINITRATO DE DIETILENGLICOL DESENSIBILIZADO con no menos de 25%, en masa, inhibidor no volátil insoluble en agua","1.1D",,2021-12-01
"waybill_materiales_peligrosos_42","0076","DINITROFENOL seco o humedecido con menos de 15%, en masa, de agua","1.1D",6.1,2021-12-01
"waybill_materiales_peligrosos_43","0077","DINITROFENOLATOS de metales alcalinos, secos o humedecidos con menos de 15%, en masa, de agua","1.3C",6.1,2021-12-01
"waybill_materiales_peligrosos_44","0078","DINITRORRESORCINOL seco o humedecido con menos de 15%, en masa, de agua","1.1D",,2021-12-01
"waybill_materiales_peligrosos_45","0079","HEXANITRODIFENILAMINA (DIPICRILAMINA; HEXILO)","1.1D",,2021-12-01
"waybill_materiales_peligrosos_46","0081","EXPLOSIVOS PARA VOLADURAS, TIPO A","1.1D",,2021-12-01
"waybill_materiales_peligrosos_47","0082","EXPLOSIVOS PARA VOLADURAS, TIPO B","1.1D",,2021-12-01
"waybill_materiales_peligrosos_48","0083","EXPLOSIVOS PARA VOLADURAS, TIPO C","1.1D",,2021-12-01
"waybill_materiales_peligrosos_49","0084","EXPLOSIVOS PARA VOLADURAS, TIPO D","1.1D",,2021-12-01
"waybill_materiales_peligrosos_50","0092","BENGALAS DE SUPERFICIE","1.3G",,2021-12-01
"waybill_materiales_peligrosos_51","0093","BENGALAS AEREAS","1.3G",,2021-12-01
"waybill_materiales_peligrosos_52","0094","POLVORA DE DESTELLOS","1.1G",,2021-12-01
"waybill_materiales_peligrosos_53","0099","CARTUCHOS DE AGRIETAMIENTO, EXPLOSIVOS, sin detonador, para pozos de petróleo","1.1D",,2021-12-01
"waybill_materiales_peligrosos_54","0101","MECHA NO DETONANTE","1.3G",,2021-12-01
"waybill_materiales_peligrosos_55","0102","MECHA DETONANTE con recubrimiento metálico","1.2D",,2021-12-01
"waybill_materiales_peligrosos_56","0103","MECHA DE IGNICION o INFLAMACION, tubular, con recubrimiento metálico","1.4G",,2021-12-01
"waybill_materiales_peligrosos_57","0104","MECHA DETONANTE DE EFECTO REDUCIDO, con recubrimiento metálico","1.4D",,2021-12-01
"waybill_materiales_peligrosos_58","0105","MECHA DE SEGURIDAD  (MECHA LENTA O MECHA BICKFORD)","1.4S",,2021-12-01
"waybill_materiales_peligrosos_59","0106","ESPOLETA DETONANTE","1.1B",,2021-12-01
"waybill_materiales_peligrosos_60","0107","ESPOLETA DETONANTE","1.2B",,2021-12-01
"waybill_materiales_peligrosos_61","0110","GRANADAS, PARA PRACTICAS de mano o de fusil","1.4S",,2021-12-01
"waybill_materiales_peligrosos_62","0113","GUANILNITROSAMINO-GUANILIDENHIDRACINA HUMEDECIDA con no menos de 30%, en masa, de agua","1.1 A",,2021-12-01
"waybill_materiales_peligrosos_63","0114","GUANILNITROSAMINOGUANILTETRACENO (TETRACENO) HUMEDECIDO con no menos de 30%, en masa, de agua o de una mezcla de alcohol y agua","1.1 A",,2021-12-01
"waybill_materiales_peligrosos_64","0118","HEXOLITA (HEXOTOL) seca o humedecida con menos de 15%, en masa, de agua","1.1D",,2021-12-01
"waybill_materiales_peligrosos_65","0121","INICIADORES","1.1G",,2021-12-01
"waybill_materiales_peligrosos_66","0124","DISPOSITIVOS PORTADORES DE CARGAS HUECAS, CARGADOS, para perforación de pozos de petróleo, sin detonador ","1.1D",,2021-12-01
"waybill_materiales_peligrosos_67","0129","AZIDA DE PLOMO HUMEDECIDA con no menos de 20%, en masa, de agua o de una mezcla de alcohol y agua","1.1 A",,2021-12-01
"waybill_materiales_peligrosos_68","0130","ESTIFNATO DE PLOMO (TRINITRORRESORCINATO DE PLOMO) HUMEDECIDO con no menos de 20%, en masa, de agua o de una mezcla de alcohol y agua","1.1 A",,2021-12-01
"waybill_materiales_peligrosos_69","0131","ENCENDEDORES PARA MECHA DE SEGURIDAD","1.4S",,2021-12-01
"waybill_materiales_peligrosos_70","0132","SALES METALICAS DEFLAGRANTES DE NITRO-DERIVADOS AROMATICOS, N.E.P","1.3C",,2021-12-01
"waybill_materiales_peligrosos_71","0133","HEXANITRATO DE MANITOL (NITROMANITA) HUMEDECIDO con no menos de 40%, en masa, de agua o de una mezcla de alcohol y agua","1.1D",,2021-12-01
"waybill_materiales_peligrosos_72","0135","FULMINATO DE MERCURIO HUMEDECIDO con no menos de 20%, en masa, de agua o de una mezcla de alcohol y agua","1.1 A",,2021-12-01
"waybill_materiales_peligrosos_73","0136","MINAS con carga explosiva","1.1F",,2021-12-01
"waybill_materiales_peligrosos_74","0137","MINAS con carga explosiva","1.1D",,2021-12-01
"waybill_materiales_peligrosos_75","0138","MINAS con carga explosiva","1.2D",,2021-12-01
"waybill_materiales_peligrosos_76","0143","NITROGLICERINA DESENSIBILIZADA con un mínimo del 40%, en masa, de inhibidor no volátil insoluble en agua","1.1D",6.1,2021-12-01
"waybill_materiales_peligrosos_77","0144","NITROGLICERINA EN SOLUCION ALCOHOLICA con más de 1% pero no más de 10% de nitroglicerina","1.1D",,2021-12-01
"waybill_materiales_peligrosos_78","0146","NITROALMIDON seco o humedecido con menos de 20%, en masa, de agua","1.1D",,2021-12-01
"waybill_materiales_peligrosos_79","0147","NITROUREA","1.1D",,2021-12-01
"waybill_materiales_peligrosos_80","0150","TETRANITRATO DE PENTAERITRITA (TETRANITRATO DE PENTAERITRITOL; PENTRITA TNPE) HUMEDECIDO con no menos de 25%, en masa, de agua, o TETRANITRATO DE PENTAERITRITO (TETRANITRATO DE PENTAERITRITOL; TNPE) DESENSIBILIZADO con no menos de 15%, en masa, de flemador","1.1D",,2021-12-01
"waybill_materiales_peligrosos_81","0151","PENTOLITA seca o humedecida con menos de 15%, en masa, de agua","1.1D",,2021-12-01
