id,code,start_date,end_date
waybill_numero_autorizacion_naviero_00,SCT418/020/2016,2016-05-27,2021-05-28
waybill_numero_autorizacion_naviero_01,SCT418/021/2016,2016-06-13,2021-06-14
waybill_numero_autorizacion_naviero_02,SCT418/025/2016,2016-06-20,2021-06-21
waybill_numero_autorizacion_naviero_03,SCT418/026/2016,2016-06-20,2021-06-21
waybill_numero_autorizacion_naviero_04,SCT418/028/2016,2016-07-04,2021-07-05
waybill_numero_autorizacion_naviero_05,SCT418/029/2016,2016-07-05,2021-07-06
waybill_numero_autorizacion_naviero_06,SCT418/030/2016,2016-07-06,2021-07-07
waybill_numero_autorizacion_naviero_07,SCT418/034/2016,2016-07-07,2021-07-08
waybill_numero_autorizacion_naviero_08,SCT418/036/2016,2016-07-22,2021-07-23
waybill_numero_autorizacion_naviero_09,SCT418/042/2016,2016-08-29,2021-08-30
waybill_numero_autorizacion_naviero_10,SCT418/046/2016,2016-09-21,2021-09-22
waybill_numero_autorizacion_naviero_11,SCT418/047/2016,2016-10-21,2021-10-22
waybill_numero_autorizacion_naviero_12,SCT418/048/2016,2016-10-28,2021-10-29
waybill_numero_autorizacion_naviero_13,SCT418/051/2016,2016-11-22,2021-11-23
waybill_numero_autorizacion_naviero_14,SCT418/052/2016,2016-11-23,2021-11-24
waybill_numero_autorizacion_naviero_15,SCT418/010/2017,2017-04-10,2022-04-11
waybill_numero_autorizacion_naviero_16,SCT418/014/2017,2017-04-10,2022-04-11
waybill_numero_autorizacion_naviero_17,SCT418/017/2017,2017-04-26,2022-04-27
waybill_numero_autorizacion_naviero_18,SCT418/021/2017,2017-05-30,2022-05-31
waybill_numero_autorizacion_naviero_19,SCT418/022/2017,2017-05-30,2022-05-31
waybill_numero_autorizacion_naviero_20,SCT418/023/2017,2017-06-08,2022-06-09
waybill_numero_autorizacion_naviero_21,SCT418/024/2017,2017-06-06,2022-06-07
waybill_numero_autorizacion_naviero_22,SCT418/030/2017,2017-07-10,2022-07-11
waybill_numero_autorizacion_naviero_23,SCT418/031/2017,2017-06-26,2022-06-27
