id,code,name,start_date
"waybill_tipo_remolque_00","CTR001","Caballete","2021-06-01"
"waybill_tipo_remolque_01","CTR002","Caja","2021-06-01"
"waybill_tipo_remolque_02","CTR003","Caja Abierta","2021-06-01"
"waybill_tipo_remolque_03","CTR004","Caja Cerrada","2021-06-01"
"waybill_tipo_remolque_04","CTR005","Caja De Recoleccion Con Cargador Frontal","2021-06-01"
"waybill_tipo_remolque_05","CTR006","Caja Refrigerada","2021-06-01"
"waybill_tipo_remolque_06","CTR007","Caja Seca","2021-06-01"
"waybill_tipo_remolque_07","CTR008","Caja Transferencia","2021-06-01"
"waybill_tipo_remolque_08","CTR009","Cama Baja o Cuello Ganso","2021-06-01"
"waybill_tipo_remolque_09","CTR010","Chasis Portacontenedor","2021-06-01"
"waybill_tipo_remolque_10","CTR011","Convencional De Chasis","2021-06-01"
"waybill_tipo_remolque_11","CTR012","Equipo Especial","2021-06-01"
"waybill_tipo_remolque_12","CTR013","Estacas","2021-06-01"
"waybill_tipo_remolque_13","CTR014","Gondola Madrina","2021-06-01"
"waybill_tipo_remolque_14","CTR015","Grua Industrial","2021-06-01"
"waybill_tipo_remolque_15","CTR016","Grua ","2021-06-01"
"waybill_tipo_remolque_16","CTR017","Integral","2021-06-01"
"waybill_tipo_remolque_17","CTR018","Jaula","2021-06-01"
"waybill_tipo_remolque_18","CTR019","Media Redila","2021-06-01"
"waybill_tipo_remolque_19","CTR020","Pallet o Celdillas","2021-06-01"
"waybill_tipo_remolque_20","CTR021","Plataforma","2021-06-01"
"waybill_tipo_remolque_21","CTR022","Plataforma Con Grua","2021-06-01"
"waybill_tipo_remolque_22","CTR023","Plataforma Encortinada","2021-06-01"
"waybill_tipo_remolque_23","CTR024","Redilas","2021-06-01"
"waybill_tipo_remolque_24","CTR025","Refrigerador","2021-06-01"
"waybill_tipo_remolque_25","CTR026","Revolvedora","2021-06-01"
"waybill_tipo_remolque_26","CTR027","Semicaja","2021-06-01"
"waybill_tipo_remolque_27","CTR028","Tanque","2021-06-01"
"waybill_tipo_remolque_28","CTR029","Tolva","2021-06-01"
"waybill_tipo_remolque_29","CTR030","Tractor","2021-06-01"
"waybill_tipo_remolque_30","CTR031","Volteo","2021-06-01"
"waybill_tipo_remolque_31","CTR032","Volteo Desmontable","2021-06-01"
