"id","code","name","start_date","end_date","simbol","bandera"
"waybill_unidad_peso_Tu","Tu","Contenedor externo","2021-06-01",,,"Embalaje"
"waybill_unidad_peso_X1A","X1A","Tambor de acero","2021-06-01",,,"Embalaje"
"waybill_unidad_peso_X1B","X1B","Tambor de aluminio","2021-06-01",,,"Embalaje"
"waybill_unidad_peso_X1D","X1D","Tambor contrachapado","2021-06-01",,,"Embalaje"
"waybill_unidad_peso_X1F","X1F","Contenedor flexible","2021-06-01",,,"Embalaje"
"waybill_unidad_peso_X1G","X1G","Tambor de fibra","2021-06-01",,,"Embalaje"
"waybill_unidad_peso_X1w","X1w","Tambor de madera","2021-06-01",,,"Embalaje"
"waybill_unidad_peso_X2C","X2C","Barril de madera","2021-06-01",,,"Embalaje"
"waybill_unidad_peso_X3A","X3A","Bidón de acero","2021-06-01",,,"Embalaje"
"waybill_unidad_peso_X3H","X3H","Bidón de plástico","2021-06-01",,,"Embalaje"
"waybill_unidad_peso_X43","X43","Bolsa de gran tamaño","2021-06-01",,,"Embalaje"
"waybill_unidad_peso_X44","X44","Bolsa de plástico","2021-06-01",,,"Embalaje"
"waybill_unidad_peso_X4A","X4A","Caja de acero","2021-06-01",,,"Embalaje"
"waybill_unidad_peso_X4B","X4B","Caja de aluminio","2021-06-01",,,"Embalaje"
"waybill_unidad_peso_X4C","X4C","Caja de  madera natural","2021-06-01",,,"Embalaje"
"waybill_unidad_peso_X4D","X4D","Caja de contrachapado","2021-06-01",,,"Embalaje"
"waybill_unidad_peso_X4F","X4F","Caja de madera reconstituida","2021-06-01",,,"Embalaje"
"waybill_unidad_peso_X4G","X4G","Caja de cartón","2021-06-01",,,"Embalaje"
"waybill_unidad_peso_X4H","X4H","Caja de plástico","2021-06-01",,,"Embalaje"
"waybill_unidad_peso_X5H","X5H","Bolsa de plástico tejido","2021-06-01",,,"Embalaje"
"waybill_unidad_peso_X5L","X5L","Bolsa textil","2021-06-01",,,"Embalaje"
"waybill_unidad_peso_X5M","X5M","Bolsa de papel","2021-06-01",,,"Embalaje"
"waybill_unidad_peso_X6H","X6H","Recipiente de plástico, Contenedor compuesto.","2021-06-01",,,"Embalaje"
"waybill_unidad_peso_X6P","X6P","Recipiente de vidrio, Contenedor compuesto.","2021-06-01",,,"Embalaje"
"waybill_unidad_peso_X7A","X7A","Estuche para carro","2021-06-01",,,"Embalaje"
